CFI06_mgr02,16S ribosomal RNA
CFI06_mgr01,12S ribosomal RNA
CFI06_mgt01,tRNA-Met
CFI06_mgt02,tRNA-Trp
CFI06_mgt03,tRNA-Cys
CFI06_mgt04,tRNA-Tyr
CFI06_mgt05,tRNA-Leu
CFI06_mgt06,tRNA-Lys
CFI06_mgt07,tRNA-Asp
CFI06_mgt08,tRNA-Gly
CFI06_mgt09,tRNA-Arg
CFI06_mgt10,tRNA-Ala
CFI06_mgt11,tRNA-Asn
CFI06_mgt12,tRNA-Ser
CFI06_mgt13,tRNA-Glu
CFI06_mgt14,tRNA-Phe
CFI06_mgt15,tRNA-His
CFI06_mgt18,tRNA-Ser
CFI06_mgt19,tRNA-Leu
CFI06_mgt16,tRNA-Thr
CFI06_mgt17,tRNA-Pro
CFI06_mgt20,tRNA-Val
CFI06_mgt21,tRNA-Leu
CFI06_mgt22,tRNA-Ile
CFI06_mgt23,tRNA-Gln
